"M0","M1","M2","M3","J0","J1","J2","J3","J4","J5","J6","J7","J8","J9","J10","J11","J12","J13","J14","D0","D1","D2","D3","D4","D5","D6","D7","D8","D9"
"2003_adquisicion_informacion_java_moon","Java","javacc","1jj",24559,15970,"33,5",6959,21,136,"10,69","9,26",,"DirectorTokenManager,jjMoveNfa_0()",173,,9,"2,56","4,28",549,3334,7356,2471,1741,840,437,387,131,177
"2003_algoritmos_geneticos_clasificacion_series","Java","AspecJ","15aj",6104,3230,"16,8",1992,"18,5",40,"8,6","7,33",,"ClasificadorParale,classifyInstance()",20,,7,"2,03","2,73",206,832,1644,569,206,96,13,4,0,0
"2003_refactorizaciones_especializacion_jerarquias_herencia_java","Java",,,11913,5192,"11,4",5073,35,85,"6,86","6,86",,"MiRenderer,getTreeCellRendererComponent()",34,,9,"2,3","2,34",277,1264,2545,739,424,284,123,45,33,24
"2004_dynamic_time_warping","Java",,,3375,1592,"10,3",1179,"32,2",36,"4,61","6,65",,"DTWChart,actionPerformed()",26,,6,"1,91","2,05",244,393,657,273,139,46,10,0,0,0
"2004_waef","Java",,"63 jsp",57303,19307,"12,2",10353,44,560,"5,07","4,58",,"Evaluation,evaluateModel()",73,,9,"1,91",2,2813,5850,7852,3274,1452,545,207,78,44,28
"2005_cualitativos_mineria_series","Java",,,12073,5978,"9,8",5336,"22,3",50,"14,36","6,64",,"KMediasSeries,buildClusterer()",25,,8,"2,21","1,84",300,1591,2157,2104,277,147,90,20,3,0
"2005_definicion_refactorizaciones_xmi","Java",,,63595,26772,"11,7",20069,"33,2",446,"6,86","5,99",,"XMIFile,importViewProject()",61,,9,"1,96","2,12",3715,7144,11129,4200,2028,974,289,123,62,12
"2005_gestion_datos_pml_pdm_aplicacion_modelos_conexionistas","Java",,,25803,11564,"8,4",6314,"35,5",175,"8,51","5,15",,"JMatLink,run()",18,,9,"1,83","1,67",1800,3286,4275,2992,445,119,60,10,11,13
"2005_gestion_documental_contenidos_web","Java",,,2269,1342,"15,9",855,"4,2",25,"5,08","8,54",,"Documento,getTypeComboResultSet()",13,,7,"2,3","3,04",60,321,526,343,147,60,13,4,0,0
"2005_mapeador_uml_java","Java",,,73404,31505,"12,2",24219,34,476,"7,44","6,21",,"XMIFile,importViewProject()",58,,9,"1,99","2,21",3966,8338,13375,5115,2428,1125,328,139,63,12
"2005_metrica","Java","javacc","4 jj",49490,35799,"52,6",12067,"7,2",74,"35,27","12,22",,"CSHARPParserTokenManager,jjMoveNfa_0()",1267,,9,"3,17","5,21",260,6160,11213,6688,6315,2528,2266,2414,222,340
"2006_conexionistas_moviles_Matlab","Java","matlab",,17472,8574,"7,2",5582,33,273,"3,98","5,81",,"DatosInforme,getFecha()",22,,8,"1,95","1,66",728,2421,4461,1335,614,167,50,15,10,0
"2006_compilador_MatLab","Java","matlab",,14364,9096,"28,9",4833,"16,6",86,"6,98","13,32",,,211,,9,"3,04","4,25",200,1434,3251,1885,1137,553,497,567,124,75
"2006_congresos_JSP","Java",,"117jsp",83984,30114,"10,4",18458,"29,9",459,"9,15","4,29",,"BOMiembro,listMiembros()",34,,8,"1,61","1,81",6174,9184,12091,5120,853,311,96,22,4,0
"2006_neuraliza_vb_cs","Csharp",,"66vb",3615,1650,,,"25,9",33,"4,06","5,75",0,"frmDatosCensoConfirmar,asignarValor()",71,0,6,"1,49","1,72",398,481,512,109,133,8,9,0,0,0
